,inner1,outer1,inner2,outer2,inner3,outer3,move,inner4,outer4,inner5,outer5,,
0,0.011913121,0,0.002717316,0,0.007757023,0,0,0.018706843,0,0.0343263,0,,
1,0.002717316,0,0.007757023,0,0.018706843,0,0,0.0343263,0,0.043994531,0,,0
2,0.007757023,0,0.018706843,0,0.0343263,0,0,0.043994531,0,0.048766032,0,,55
3,0.018706843,0,0.0343263,0,0.043994531,0,0,0.048766032,0,0.055850998,0,,
4,0.0343263,0,0.043994531,0,0.048766032,0,0,0.055850998,0,-0.004560992,0,,
5,0.043994531,0,0.048766032,0,0.055850998,0,0,-0.004560992,0,-0.01793699,0,,
6,0.048766032,0,0.055850998,0,-0.004560992,0,0,-0.01793699,0,-0.017697483,0,,
7,0.055850998,0,-0.004560992,0,-0.01793699,0,0,-0.017697483,0,-0.022654936,0,,
8,-0.004560992,0,-0.01793699,0,-0.017697483,0,0,-0.022654936,0,-0.027188748,0,,
9,-0.01793699,0,-0.017697483,0,-0.022654936,0,0,-0.027188748,0,-0.037898213,0,,
10,-0.017697483,0,-0.022654936,0,-0.027188748,0,0,-0.037898213,0,-0.046136871,0,,
11,-0.022654936,0,-0.027188748,0,-0.037898213,0,0,-0.046136871,0,-0.033761695,0,,
12,-0.027188748,0,-0.037898213,0,-0.046136871,0,0,-0.033761695,0,-0.017001674,0.006587483,,
13,-0.037898213,0,-0.046136871,0,-0.033761695,0,0,-0.017001674,0.006587483,-0.015833244,-0.000670195,,
14,-0.046136871,0,-0.033761695,0,-0.017001674,0.006587483,0,-0.015833244,-0.000670195,-0.017744154,-0.000595063,,
15,-0.033761695,0,-0.017001674,0.006587483,-0.015833244,-0.000670195,0,-0.017744154,-0.000595063,-0.025926188,0.005299002,,
16,-0.017001674,0.006587483,-0.015833244,-0.000670195,-0.017744154,-0.000595063,0,-0.025926188,0.005299002,-0.040123403,0.008436501,,
17,-0.015833244,-0.000670195,-0.017744154,-0.000595063,-0.025926188,0.005299002,0,-0.040123403,0.008436501,-0.053423107,0.008890808,,
18,-0.017744154,-0.000595063,-0.025926188,0.005299002,-0.040123403,0.008436501,0,-0.053423107,0.008890808,-0.05273056,0.005688429,,
19,-0.025926188,0.005299002,-0.040123403,0.008436501,-0.053423107,0.008890808,0,-0.05273056,0.005688429,-0.036029309,0.002450168,,
20,-0.040123403,0.008436501,-0.053423107,0.008890808,-0.05273056,0.005688429,0,-0.036029309,0.002450168,-0.008594751,-0.003680319,,
21,-0.053423107,0.008890808,-0.05273056,0.005688429,-0.036029309,0.002450168,0,-0.008594751,-0.003680319,-0.011755377,-0.005293131,,
22,-0.05273056,0.005688429,-0.036029309,0.002450168,-0.008594751,-0.003680319,0,-0.011755377,-0.005293131,-0.00954473,-0.00829199,,
23,-0.036029309,0.002450168,-0.008594751,-0.003680319,-0.011755377,-0.005293131,0,-0.00954473,-0.00829199,-0.003229082,-0.020185322,,
24,-0.008594751,-0.003680319,-0.011755377,-0.005293131,-0.00954473,-0.00829199,0,-0.003229082,-0.020185322,0.000885755,0.002703011,,
25,-0.011755377,-0.005293131,-0.00954473,-0.00829199,-0.003229082,-0.020185322,0,0.000885755,0.002703011,0.008958787,-0.001245469,,
26,-0.00954473,-0.00829199,-0.003229082,-0.020185322,0.000885755,0.002703011,0,0.008958787,-0.001245469,0.024193019,-0.00373286,,
27,-0.003229082,-0.020185322,0.000885755,0.002703011,0.008958787,-0.001245469,0,0.024193019,-0.00373286,0.032108188,-0.006905645,,
28,0.000885755,0.002703011,0.008958787,-0.001245469,0.024193019,-0.00373286,0,0.032108188,-0.006905645,0.039156705,-0.003813148,,
29,0.008958787,-0.001245469,0.024193019,-0.00373286,0.032108188,-0.006905645,0,0.039156705,-0.003813148,0.036976725,0.001219511,,
30,0.024193019,-0.00373286,0.032108188,-0.006905645,0.039156705,-0.003813148,0,0.036976725,0.001219511,0.026270062,-0.001770794,,
31,0.032108188,-0.006905645,0.039156705,-0.003813148,0.036976725,0.001219511,0,0.026270062,-0.001770794,0.019455194,-0.007014722,,
32,0.039156705,-0.003813148,0.036976725,0.001219511,0.026270062,-0.001770794,0,0.019455194,-0.007014722,0.011942506,-0.013517559,,
33,0.036976725,0.001219511,0.026270062,-0.001770794,0.019455194,-0.007014722,0,0.011942506,-0.013517559,0.011360019,-0.02300626,,
34,0.026270062,-0.001770794,0.019455194,-0.007014722,0.011942506,-0.013517559,0,0.011360019,-0.02300626,0.013818234,-0.025750324,,
35,0.019455194,-0.007014722,0.011942506,-0.013517559,0.011360019,-0.02300626,0,0.013818234,-0.025750324,0.011780441,0,,
36,0.011942506,-0.013517559,0.011360019,-0.02300626,0.013818234,-0.025750324,0,0.011780441,0,0.009738773,0,,
37,0.011360019,-0.02300626,0.013818234,-0.025750324,0.011780441,0,0,0.009738773,0,0.006774962,0,,
38,0.013818234,-0.025750324,0.011780441,0,0.009738773,0,0,0.006774962,0,0.0048756,0,,
39,0.011780441,0,0.009738773,0,0.006774962,0,0,0.0048756,0,0.001215935,0.020090505,,
40,0.009738773,0,0.006774962,0,0.0048756,0,0,0.001215935,0.020090505,-0.000967532,-0.020264208,,
41,0.006774962,0,0.0048756,0,0.001215935,0.020090505,0,-0.000967532,-0.020264208,-0.009480029,-0.01083672,,
42,0.0048756,0,0.001215935,0.020090505,-0.000967532,-0.020264208,0,-0.009480029,-0.01083672,-0.021926373,-0.009994343,,
43,0.001215935,0.020090505,-0.000967532,-0.020264208,-0.009480029,-0.01083672,0,-0.021926373,-0.009994343,-0.032835096,-0.000997484,,
44,-0.000967532,-0.020264208,-0.009480029,-0.01083672,-0.021926373,-0.009994343,0,-0.032835096,-0.000997484,-0.052154899,0.021114618,,
45,-0.009480029,-0.01083672,-0.021926373,-0.009994343,-0.032835096,-0.000997484,0,-0.052154899,0.021114618,-0.066404879,0.059314817,,
46,-0.021926373,-0.009994343,-0.032835096,-0.000997484,-0.052154899,0.021114618,0,-0.066404879,0.059314817,-0.054578453,0.038694233,,
47,-0.032835096,-0.000997484,-0.052154899,0.021114618,-0.066404879,0.059314817,0,-0.054578453,0.038694233,-0.016502053,0,,
48,-0.052154899,0.021114618,-0.066404879,0.059314817,-0.054578453,0.038694233,0,-0.016502053,0,0.024080813,0,,
49,-0.066404879,0.059314817,-0.054578453,0.038694233,-0.016502053,0,0,0.024080813,0,0.033510476,0,,
50,-0.054578453,0.038694233,-0.016502053,0,0.024080813,0,0,0.033510476,0,0.027842402,0,,
51,-0.016502053,0,0.024080813,0,0.033510476,0,0,0.027842402,0,0.017514676,-0.013665468,,
52,0.024080813,0,0.033510476,0,0.027842402,0,0,0.017514676,-0.013665468,0.00630632,-0.008892395,,
53,0.033510476,0,0.027842402,0,0.017514676,-0.013665468,-1,0.00630632,-0.008892395,0.002923816,-0.000143923,,
54,0.027842402,0,0.017514676,-0.013665468,0.00630632,-0.008892395,0,0.002923816,-0.000143923,0.004998147,0.005746506,,
