,inner1,outer1,inner2,outer2,inner3,outer3,move,inner4,outer4,inner5,outer5,,,
0,-0.023734897,0,-0.010870814,0,0.0236516,0,0,0.070454419,0,0.060846478,0,,,55
1,-0.010870814,0,0.0236516,0,0.070454419,0,0,0.060846478,0,0.035718754,0,,,0
2,0.0236516,0,0.070454419,0,0.060846478,0,0,0.035718754,0,0.013476446,0,,,
3,0.070454419,0,0.060846478,0,0.035718754,0,0,0.013476446,0,0.001066715,-0.011796445,,,
4,0.060846478,0,0.035718754,0,0.013476446,0,0,0.001066715,-0.011796445,-0.003936984,-0.008212984,,,
5,0.035718754,0,0.013476446,0,0.001066715,-0.011796445,0,-0.003936984,-0.008212984,-0.003520228,-0.004446596,,,
6,0.013476446,0,0.001066715,-0.011796445,-0.003936984,-0.008212984,0,-0.003520228,-0.004446596,-0.002511114,0,,,
7,0.001066715,-0.011796445,-0.003936984,-0.008212984,-0.003520228,-0.004446596,0,-0.002511114,0,0.021120362,0,,,
8,-0.003936984,-0.008212984,-0.003520228,-0.004446596,-0.002511114,0,0,0.021120362,0,0.016979448,0,,,
9,-0.003520228,-0.004446596,-0.002511114,0,0.021120362,0,0,0.016979448,0,0.01456321,0,,,
10,-0.002511114,0,0.021120362,0,0.016979448,0,0,0.01456321,0,0.017864838,0,,,
11,0.021120362,0,0.016979448,0,0.01456321,0,0,0.017864838,0,0.02195219,0,,,
12,0.016979448,0,0.01456321,0,0.017864838,0,0,0.02195219,0,0.027371638,0,,,
13,0.01456321,0,0.017864838,0,0.02195219,0,0,0.027371638,0,0.066308223,0,,,
14,0.017864838,0,0.02195219,0,0.027371638,0,0,0.066308223,0,-0.023162469,0,,,
15,0.02195219,0,0.027371638,0,0.066308223,0,0,-0.023162469,0,-0.036313489,0,,,
16,0.027371638,0,0.066308223,0,-0.023162469,0,0,-0.036313489,0,-0.044520348,0,,,
17,0.066308223,0,-0.023162469,0,-0.036313489,0,0,-0.044520348,0,-0.050466701,0,,,
18,-0.023162469,0,-0.036313489,0,-0.044520348,0,0,-0.050466701,0,-0.048976958,0,,,
19,-0.036313489,0,-0.044520348,0,-0.050466701,0,0,-0.048976958,0,-0.039885521,0,,,
